Name,Date,Hashrate TH/s,Power W,Value
Bitmain Antminer S3,2014-07-01,0.478,366,765.690
Bitmain Antminer S3,2014-11-30,0.478,366,765.690
Bitmain Antminer S5,2014-12-01,1.155,590,510.823
Bitmain Antminer S5,2015-08-31,1.155,590,510.823
Bitmain Antminer S7,2015-09-01,4.730,1293,273.362
Bitmain Antminer S7,2016-05-31,4.730,1293,273.362
Bitmain Antminer S9 (11.5Th),2016-06-01,11.500,1127,98.000
Bitmain Antminer S9 (11.5Th),2017-01-31,11.500,1127,98.000
Bitmain Antminer R4,2017-02-01,8.700,845,97.126
Bitmain Antminer R4,2017-03-31,8.700,845,97.126
Bitmain Antminer T9 (11.5Th),2017-04-01,11.500,1450,126.087
Bitmain Antminer T9 (11.5Th),2017-06-30,11.500,1450,126.087
Bitmain Antminer S9 (13Th),2017-07-01,13.000,1300,100.000
Bitmain Antminer S9 (13Th),2017-08-31,13.000,1300,100.000
Bitmain Antminer S9 (13.5Th),2017-09-01,13.500,1323,98.000
Bitmain Antminer S9 (13.5Th),2017-10-31,13.500,1323,98.000
Bitmain Antminer S9 (14Th),2017-11-01,14.000,1372,98.000
Bitmain Antminer S9 (14Th),2018-04-30,14.000,1372,98.000
Bitmain Antminer S9i (14Th),2018-05-01,14.000,1320,94.286
Bitmain Antminer S9i (14Th),2018-07-30,14.000,1320,94.286
Bitmain Antminer S9j (14.5Th),2018-08-01,14.500,1350,93.103
Bitmain Antminer S9j (14.5Th),2018-08-31,14.500,1350,93.103
Bitmain Antminer S11 (20.5Th),2018-09-01,20.500,1530,74.634
Bitmain Antminer S11 (20.5Th),2018-11-30,20.500,1530,74.634
Bitmain Antminer S15 (28Th),2018-12-01,28.000,1596,57.000
Bitmain Antminer S15 (28Th),2019-03-31,28.000,1596,57.000
Bitmain Antminer S17 Pro (53Th),2019-04-01,53.000,2094,39.509
Bitmain Antminer S17 Pro (53Th),2020-04-30,53.000,2094,39.509
Bitmain Antminer S19 Pro (110Th),2020-05-01,110.000,3250,29.545
Bitmain Antminer S19 Pro (110Th),2021-07-01,110.000,3250,29.545